K,covariance_type,bic,silhouette,calinski_harabasz,davies_bouldin
2,full,-198246.10988397652,0.3041793704032898,220.61340113880217,1.5222755580402532
2,diag,-204381.11341254474,0.35256674885749817,261.75022334260416,1.1276309633710815
2,tied,-199157.63452967064,0.3041793704032898,220.61340113880217,1.5222755580402532
2,spherical,-150803.86424826755,0.35256674885749817,261.75022334260416,1.1276309633710815
3,full,-193939.2777473277,0.3361162841320038,230.8929920950629,1.176176297525111
3,diag,-204594.7459460638,0.2195281833410263,191.3160664997327,1.369456992796833
3,tied,-201568.31177992688,0.3361162841320038,230.8929920950629,1.176176297525111
3,spherical,-157565.30057489214,0.30581018328666687,246.4996683689066,1.2711788812138483
4,full,-190630.61861482926,0.33044442534446716,239.03613164448672,1.189248094508624
4,diag,-204956.5254522391,0.20617036521434784,150.18318672924622,1.2993535508271614
4,tied,-201658.71901065184,0.33044442534446716,239.03613164448672,1.189248094508624
4,spherical,-162952.1165401886,0.3647224009037018,264.52202348024196,1.146414774392945
5,full,-185799.61823477224,0.37394198775291443,266.296746394006,1.1009436070602763
5,diag,-205003.29598624643,0.2872849702835083,199.67461856358125,1.2632594254520102
5,tied,-203218.468892744,0.31874820590019226,207.51580204109322,1.469092700712793
5,spherical,-167714.68311583667,0.37394198775291443,266.296746394006,1.1009436070602763
6,full,-180447.08806955893,0.3761455714702606,264.5132892681575,1.1008667303243913
6,diag,-205118.25673631823,0.3625284731388092,256.96017897876555,1.1232924711158228
6,tied,-202068.60408977757,0.36404141783714294,257.9110922622309,1.122577953490033
6,spherical,-171513.6224637015,0.36404141783714294,257.9110922622309,1.122577953490033
7,full,-175279.15165434565,0.3481692373752594,226.52772758748864,1.1870531706377663
7,diag,-205152.73631573573,0.3425758481025696,230.71685925729946,1.1032598051363205
7,tied,-203609.91753998495,0.3638390302658081,232.12714180936663,1.0961860751784662
7,spherical,-174662.7144604921,0.3946845829486847,254.99306634506158,1.007795374205965
8,full,-169846.56640490383,0.3196350336074829,221.57081854604215,1.255864681393128
8,diag,-205170.3363175165,0.3732467591762543,236.39522509843113,1.0088759959049118
8,tied,-203776.44674946967,0.39448222517967224,237.66173171595017,0.9990503030938525
8,spherical,-176689.7406308667,0.40424686670303345,247.53229307780677,0.9801332777806361
9,full,-163867.0009003351,0.3469911515712738,230.26106686592033,1.1145910415116314
9,diag,-205135.15076631875,0.36512482166290283,224.11880867948398,1.0408321369670308
9,tied,-203777.26111520443,0.38346806168556213,239.63636479474528,1.0604643711443682
9,spherical,-178214.19786203234,0.37749961018562317,239.78937969494783,1.0841385992963157
10,full,-158338.30038600072,0.3292319178581238,221.65176804444565,1.1958714109945852
10,diag,-205080.9552053554,0.32738062739372253,220.63497059543374,1.1990626639637525
10,tied,-205348.1875720036,0.3937605917453766,230.94499316607462,1.0016914537068842
10,spherical,-180017.52865887177,0.3615923821926117,234.86802840680988,1.0752082136471859
