IDCode,S1,S2,S3,S5,S6,Missing_total,gmm_bic_best_label
paxi044,6,5,0,2,2,6.947368421,2
pivi588,16,34,5,4,7,0.0,1
weda047,11,32,5,5,4,0.0,1
zoka501,7,20,5,5,5,0.0,0
hyku415,8,28,5,3,4,0.0,5
syvi476,8,14,2,2,4,0.0,2
kuqy630,12,31,5,4,4,0.0,5
node314,9,24,3,5,2,0.0,0
mybu425,12,30,2,3,2,0.0,0
pyqy867,11,31,5,6,1,0.0,3
tywo507,13,31,5,4,5,0.0,3
nuhi137,10,24,1,3,2,0.0,4
vuho146,12,19,3,6,5,6.947368421,4
nysa238,10,18,3,3,4,1.736842105,4
kisa730,11,30,4,5,3,8.684210526,5
doza768,7,25,3,3,2,0.0,4
sapu497,8,24,5,3,4,0.0,0
dila385,14,27,3,5,4,0.0,0
pymu787,11,20,3,5,3,0.0,5
bejy525,9,28,3,5,2,0.0,0
bajo794,14,30,4,2,4,0.0,3
dugu064,1,17,4,4,3,3.473684211,4
hiwu738,12,29,4,6,6,0.0,3
zucy684,9,30,3,7,3,0.0,5
huxe147,10,22,2,5,5,0.0,0
woza563,9,23,4,5,1,5.210526316,4
neku787,11,27,4,7,4,0.0,3
navo572,8,22,5,3,5,0.0,0
gola051,9,24,4,3,5,0.0,0
pyzo535,8,13,3,3,0,52.10526316,2
xoky149,11,28,2,4,2,0.0,0
loxu319,12,33,5,7,4,0.0,1
qisu640,9,17,3,6,2,12.15789474,4
gery678,6,13,0,4,3,46.89473684,2
huho039,10,27,5,7,3,0.0,5
wozo826,4,15,2,5,3,17.36842105,4
soru820,4,16,5,4,1,0.0,4
fari709,5,13,0,3,0,46.89473684,2
qapo730,10,21,3,5,3,24.31578947,4
najy705,8,25,2,4,2,0.0,4
sejy814,11,33,5,4,5,8.684210526,3
laze716,9,24,3,7,5,0.0,0
kojo378,6,19,2,4,0,5.210526316,4
tepu554,12,31,5,5,3,0.0,3
dyva324,10,16,3,5,2,13.89473684,4
pusu302,6,12,0,2,0,50.36842105,2
xamy888,11,23,4,6,3,0.0,0
ninu744,2,19,0,3,0,1.736842105,2
punu537,5,28,4,4,2,6.947368421,0
zufa556,1,8,0,4,0,15.63157895,2
losy787,7,14,3,4,3,45.15789474,2
fuxa711,8,24,4,4,1,5.210526316,4
myzo000,8,28,5,4,3,5.210526316,3
jygo886,8,17,2,5,1,0.0,4
dyzo734,2,2,2,1,0,52.10526316,2
ciky680,11,33,4,5,5,8.684210526,3
nopo152,8,18,3,4,4,1.736842105,4
tivy194,9,28,4,3,1,3.473684211,0
biry098,7,27,2,4,0,20.84210526,4
tebo981,12,27,5,7,6,0.0,1
jyma323,9,27,4,7,4,0.0,3
cani065,10,27,3,7,6,0.0,3
puxi257,11,18,3,4,3,8.684210526,4
jemy201,8,29,4,5,1,0.0,0
woqa919,11,25,5,5,6,0.0,3
huze427,10,16,0,4,6,0.0,4
jaxe723,13,27,5,6,6,0.0,3
xamy676,8,24,5,3,3,0.0,0
lowy720,11,26,5,6,4,0.0,5
mixa281,8,16,5,4,5,0.0,4
sipy389,5,14,3,4,3,45.15789474,2
bube109,10,29,5,5,3,0.0,3
boqe999,11,31,5,6,4,0.0,1
guzo911,9,28,3,8,2,17.36842105,0
guxe800,10,25,5,5,4,0.0,0
dove442,10,27,4,5,2,1.736842105,0
zivi062,5,23,5,4,5,0.0,0
lury747,7,18,2,6,3,0.0,4
tuve726,11,23,5,5,4,0.0,0
vihu826,11,29,4,6,6,0.0,5
hata313,7,23,1,7,3,0.0,0
hoki309,5,20,4,5,2,0.0,4
kyzy131,10,19,2,3,4,0.0,4
syti148,9,31,5,7,1,1.736842105,3
syco853,13,32,5,6,5,0.0,5
sefy975,11,23,4,2,2,20.84210526,4
jese656,11,28,5,5,6,0.0,3
guge611,10,26,1,5,0,0.0,4
mesi806,8,22,4,4,4,0.0,5
sesi698,10,30,5,6,3,0.0,3
gopa505,9,25,4,5,3,0.0,0
duwi894,10,29,5,5,5,0.0,3
hasa034,7,26,4,4,4,0.0,0
pile112,13,32,4,6,6,0.0,1
sivi804,8,20,3,7,4,0.0,0
maho931,10,21,3,4,4,13.89473684,5
waho571,10,26,3,3,3,0.0,0
mowy859,3,24,2,2,3,0.0,4
rihi168,6,18,2,3,1,0.0,2
siry766,8,30,5,3,3,0.0,5
qefe646,6,16,3,4,2,0.0,4
zojo883,12,32,5,7,4,0.0,1
dero258,12,31,5,3,4,0.0,3
mika525,8,26,5,1,3,1.736842105,4
xohi599,11,28,5,6,5,0.0,3
tebe135,13,22,4,5,4,0.0,5
naso669,8,20,2,4,3,1.736842105,4
qecu035,10,32,5,5,4,0.0,5
