IDCode,index,narrative_gmm_bic_best_label,narrative_best_label
paxi044,0,1,1
pivi588,1,0,0
weda047,2,6,6
zoka501,3,8,8
hyku415,4,2,2
syvi476,5,9,9
kuqy630,6,7,7
node314,7,1,1
mybu425,8,8,8
pyqy867,9,0,0
tywo507,10,4,4
nuhi137,11,9,9
vuho146,12,1,1
nysa238,13,1,1
kisa730,14,2,2
doza768,15,1,1
sapu497,16,1,1
dila385,17,8,8
pymu787,18,3,3
bejy525,19,2,2
bajo794,20,8,8
dugu064,21,3,3
hiwu738,22,6,6
zucy684,23,7,7
huxe147,24,1,1
woza563,25,1,1
neku787,26,8,8
navo572,27,1,1
gola051,28,5,5
pyzo535,29,1,1
xoky149,30,2,2
loxu319,31,7,7
qisu640,32,3,3
gery678,33,9,9
huho039,34,2,2
wozo826,35,1,1
soru820,36,1,1
fari709,37,3,3
qapo730,38,1,1
najy705,39,3,3
sejy814,40,6,6
laze716,41,8,8
kojo378,42,9,9
tepu554,43,0,0
dyva324,44,3,3
pusu302,45,1,1
xamy888,46,3,3
ninu744,47,9,9
punu537,48,5,5
zufa556,49,3,3
losy787,50,1,1
fuxa711,51,3,3
myzo000,52,2,2
jygo886,53,1,1
dyzo734,54,1,1
ciky680,55,7,7
nopo152,56,9,9
tivy194,57,9,9
biry098,58,1,1
tebo981,59,6,6
jyma323,60,5,5
cani065,61,0,0
puxi257,62,1,1
jemy201,63,5,5
woqa919,64,2,2
huze427,65,9,9
jaxe723,66,0,0
xamy676,67,3,3
lowy720,68,2,2
mixa281,69,3,3
sipy389,70,9,9
bube109,71,8,8
boqe999,72,4,4
guzo911,73,2,2
guxe800,74,2,2
dove442,75,8,8
zivi062,76,9,9
lury747,77,3,3
tuve726,78,2,2
vihu826,79,7,7
hata313,80,3,3
hoki309,81,3,3
kyzy131,82,3,3
syti148,83,8,8
syco853,84,7,7
sefy975,85,3,3
jese656,86,0,0
guge611,87,1,1
mesi806,88,1,1
sesi698,89,0,0
gopa505,90,2,2
duwi894,91,0,0
hasa034,92,2,2
pile112,93,0,0
sivi804,94,1,1
maho931,95,1,1
waho571,96,9,9
mowy859,97,1,1
rihi168,98,1,1
siry766,99,2,2
qefe646,100,3,3
zojo883,101,0,0
dero258,102,4,4
mika525,103,3,3
xohi599,104,4,4
tebe135,105,1,1
naso669,106,9,9
qecu035,107,7,7
zywy107,108,2,2
cave700,109,3,3
nupy082,110,6,6
hoge626,111,6,6
nivo041,112,7,7
karo919,113,3,3
vuhe805,114,2,2
kebi083,115,5,5
faly535,116,1,1
gelo627,117,1,1
vili771,118,0,0
katu927,119,8,8
xiza150,120,9,9
bevi590,121,4,4
huve181,122,3,3
fite050,123,4,4
nysu060,124,4,4
kaho190,125,2,2
lany944,126,4,4
maqu534,127,2,2
wuga870,128,2,2
wyva352,129,2,2
hime464,130,8,8
jexu775,131,8,8
tuga736,132,1,1
hyfe498,133,9,9
bomo360,134,0,0
lomo204,135,0,0
mipe544,136,5,5
hufy497,137,4,4
rapo919,138,5,5
gata076,139,1,1
muvo194,140,1,1
cywo537,141,8,8
xamy327,142,1,1
cogu074,143,7,7
rapo615,144,1,1
zady580,145,1,1
nujo284,146,2,2
syzu625,147,2,2
myte214,148,2,2
tyzo440,149,1,1
vyzo298,150,4,4
hiwu589,151,2,2
sazy810,152,0,0
turi097,153,5,5
foji729,154,5,5
dexe201,155,0,0
dosu709,156,2,2
doxe392,157,1,1
culu497,158,2,2
lije367,159,7,7
vice024,160,4,4
kapy740,161,7,7
vudi262,162,1,1
tuza510,163,3,3
tubo945,164,6,6
bofi323,165,2,2
zeji633,166,1,1
bowo488,167,1,1
pipo687,168,1,1
core934,169,2,2
dedu084,170,1,1
lowa532,171,1,1
zuha759,172,1,1
qafu966,173,1,1
lobo127,174,2,2
homa046,175,1,1
keno764,176,3,3
habe142,177,2,2
joti731,178,4,4
reve265,179,5,5
cyca115,180,6,6
rawo522,181,0,0
pogi169,182,7,7
vepi727,183,2,2
risy585,184,3,3
fefu774,185,4,4
wyxo615,186,0,0
ciby707,187,7,7
xuvy948,188,0,0
ravy196,189,0,0
loge702,190,8,8
viry492,191,2,2
gowa049,192,0,0
vyva107,193,8,8
duxo262,194,0,0
peto053,195,6,6
difi858,196,6,6
xoru423,197,2,2
wizy437,198,0,0
kuge219,199,0,0
hazu473,200,2,2
gono087,201,2,2
vury347,202,8,8
copo281,203,1,1
heda014,204,0,0
powu461,205,7,7
peqa279,206,0,0
lufy687,207,3,3
koze985,208,7,7
hadi890,209,8,8
recu163,210,7,7
xyzi642,211,7,7
nejy388,212,1,1
tezy480,213,5,5
nawu690,214,8,8
mofe780,215,1,1
nily317,216,1,1
